,name,continent,independence_year,life_expectancy
0,Aruba,North America,,78.4
1,Afghanistan,Asia,1919.0,45.9
2,Angola,Africa,1975.0,38.3
3,Anguilla,North America,,76.1
4,Albania,Europe,1912.0,71.6
5,Andorra,Europe,1278.0,83.5
6,Netherlands Antilles,North America,,74.7
7,united Arab Emirates,Asia,1971.0,74.1
8,Argentina,South America,1816.0,75.1
9,Armenia,Asia,1991.0,66.4
10,American Samoa,Oceania,,75.1
11,Antarctica,Antarctica,,
12,French Southern territories,Antarctica,,
13,Antigua and Barbuda,North America,1981.0,70.5
14,Australia,Oceania,1901.0,79.8
15,Austria,Europe,1918.0,77.7
16,Azerbaijan,Asia,1991.0,62.9
17,Burundi,Africa,1962.0,46.2
18,Belgium,Europe,1830.0,77.8
19,Benin,Africa,1960.0,50.2
20,Burkina Faso,Africa,1960.0,46.7
21,Bangladesh,Asia,1971.0,60.2
22,Bulgaria,Europe,1908.0,70.9
23,Bahrain,Asia,1971.0,73.0
24,Bahamas,North America,1973.0,71.1
25,Bosnia and Herzegovina,Europe,1992.0,71.5
26,Belarus,Europe,1991.0,68.0
27,Belize,North America,1981.0,70.9
28,Bermuda,North America,,76.9
29,Bolivia,South America,1825.0,63.7
30,Brazil,South America,1822.0,62.9
31,Barbados,North America,1966.0,73.0
32,Brunei,Asia,1984.0,73.6
33,Bhutan,Asia,1910.0,52.4
34,Bouvet Island,Antarctica,,
35,Botswana,Africa,1966.0,39.3
36,Central African Republic,Africa,1960.0,44.0
37,Canada,North America,1867.0,79.4
38,Cocos (Keeling) Islands,Oceania,,
39,Switzerland,Europe,1499.0,79.6
40,Chile,South America,1810.0,75.7
41,China,Asia,-1523.0,71.4
42,Cote dIvoire,Africa,1960.0,45.2
43,Cameroon,Africa,1960.0,54.8
44,"Congo, The Democratic Republic of the",Africa,1960.0,48.8
45,Congo,Africa,1960.0,47.4
46,Cook Islands,Oceania,,71.1
47,Colombia,South America,1810.0,70.3
48,Comoros,Africa,1975.0,60.0
49,Cape Verde,Africa,1975.0,68.9
50,Costa Rica,North America,1821.0,75.8
51,Cuba,North America,1902.0,76.2
52,Christmas Island,Oceania,,
53,Cayman Islands,North America,,78.9
54,Cyprus,Asia,1960.0,76.7
55,Czech Republic,Europe,1993.0,74.5
56,Germany,Europe,1955.0,77.4
57,Djibouti,Africa,1977.0,50.8
58,Dominica,North America,1978.0,73.4
59,Denmark,Europe,800.0,76.5
60,Dominican Republic,North America,1844.0,73.2
61,Algeria,Africa,1962.0,69.7
62,Ecuador,South America,1822.0,71.1
